Artist,Song,Wave,Year,Lyrics,Original Lyrics,,
Salt-N-Pepa,None of Your Business ,3,1993,"[Intro: Salt-N-Pepa]
What's the matter with your life?
Why you gotta mess with mine?
Don't keep sweating what I do
'Cause I'm gonna be just fine, check it out

[Chorus: Salt-N-Pepa]
If I wanna take a guy home with me tonight
It's none of your business
And if she wanna be a freak and sell it on the weekend
It's none of your business
Now you shouldn't even get into who I'm giving skins to
It's none of your business
So don't try to change my mind, I'll tell you one more time
It's none of your business

[Post-Chorus: Salt]
Now who do you think you are
Putting your cheap two cents in?
Don't you got nothing to do
Than worry 'bout my friends? Check it

[Verse 1: Salt]
I can't do nothing, girl, without somebody bugging
I used to think that it was me, but now I see it wasn't
They told me to change, they called me names, and so I popped one
Opinions are like assholes and everybody's got one
I never put my nose where I'm not supposed to
Believe me, if he's something that I want, I'm stepping closer
I'm not one for playing hypo
Like the high saditty 90210 type of ho
I treat a man like he treats me
The difference between a hooker and a ho ain't nothing but a fee
So hold your tongue tightly, wish you could be like me
You're popping all that mess only to stress and to spite me
Now you can get with that or you can get with this
But I don't give a shit, 'cause really it's none of your business
 [Pre-Chorus]
1993
S-N-P, packing and macking
Bamboozling and smacking suckers with this track, and
Throw the beat back in

[Chorus: Salt-N-Pepa]
If I wanna take a guy home with me tonight
It's none of your business
And if she wanna be a freak and sell it on the weekend
It's none of your business
Now you shouldn't even get into who I'm giving skins to
It's none of your business
So don't try to change my mind, I'll tell you one more time
It's none of your business

[Post-Chorus: Spinderella]
How many rules am I to break before you understand
That your double-standards don't mean shit to me?
I know exactly what you say when I turn and walk away
But that's okay, 'cause I don't let it get it to me
Now every move I make, somebody's clocking
Don't ask me nothing, will you just leave me alone?
Never mind who's the guy that I took home
To bone
[Verse 2: Pepa]
Okay, miss thing, never giving up skins
If you don't like him or his friends what about that Benz?
Yo, Pep-Pep's got a ill rep
With all that macaroni trap for rap, you better step
Or better yet, get your head checked
'Cause I refuse to be played like a penny cent trick deck of cards
No, I ain't hard like the bitches on a boulevard
My face ain't scarred and I don't dance in bars
You can call me a tramp if you want to
But I remember the punk who just humped and dumped you
Oh, you can front if you have to
But everybody gets horny just like you
So, yo, so, yo, ho
Check it, double-deck it on the regular butt-naked
Pep's ass gets respected, miss
But its none of your business

[Chorus: Salt-N-Pepa]
If I wanna take a guy home with me tonight
It's none of your business
And if she wanna be a freak and sell it on the weekend
It's none of your business
Now you shouldn't even get into who I'm giving skins to
It's none of your business
So don't try to change my mind, I'll tell you one more time
It's none of your business
[Interlude: Salt]
So the moral of this story is
Who are you to judge?
There's only one true judge, and that's God
So chill, and let my Father do His job

[Outro: Salt]
'Cause Salt and Pepa's got it swinging again
'Cause Salt and Pepa's got it swinging again
'Cause Salt and Pepa's got it swinging again
'Cause Salt and Pepa's got it swinging again
'Cause Salt and Pepa's got it swinging again
'Cause Salt and Pepa's got it swinging again",,,
No Doubt,Just a Girl ,3,1995,"[Verse 1]
Take this pink ribbon off my eyes
I'm exposed, and it's no big surprise
Don't you think I know exactly where I stand?
This world is forcing me to hold your hand

[Chorus]
'Cause I'm just a girl, oh, little old me
Well, don't let me out of your sight
Oh, I'm just a girl, all pretty and petite
So don't let me have any rights

[Post-Chorus]
Oh, I've had it up to here

[Verse 2]
The moment that I step outside
So many reasons for me to run and hide
I can't do the little things I hold so dear
'Cause it's all those little things that I fear

[Chorus]
'Cause I'm just a girl, I'd rather not be
'Cause they won't let me drive late at night
Oh, I'm just a girl, guess I'm some kind of freak
'Cause they all sit and stare with their eyes
Oh, I'm just a girl, take a good look at me
Just your typical prototype
 [Post-Chorus]
Oh, I've had it up to here
Oh, am I making myself clear?

[Bridge]
I'm just a girl
I'm just a girl in the world
That's all that you'll let me be

[Chorus]
Oh, I'm just a girl, living in captivity
Your rule of thumb makes me worrisome
Oh, I'm just a girl, what's my destiny?
What I've succumbed to is making me numb
Oh, I'm just a girl, my apologies
What I've become is so burdensome
Oh, I'm just a girl, lucky me
Twiddle-dum, there's no comparison

[Outro]
Oh, I've had it up to
Oh, I've had it up to
Oh, I've had it up to here",,,
Liv Grace Blue,Don't Need a Man,3,2021,"[Verse 1]
I'm sorry that I missed your call
I just didn’t wanna waste my time
I know exactly what you want
I don't even need to read your mind
I'm not a puppet (Nah, nah, nah, nah)
You can’t touch it (Nah, nah, nah, nah)
Actually, I'm not sorry
'Cause I'm glad I didn't waste my

[Pre-Chorus]
Waste my ni-i-i-i-i-i-ight
'Cause I'm better than that
Run away with all your li-i-i-i-i-ies
You could take that shit back, yeah
You say that you could never live without me
Then you turn around and you be acting shady
So baby-boy by-y-y-y-y-e
You could take that shit back, yeah

[Chorus]
'Cause I don’t need a man
No I don’t need nothing
I got myself and I got my love and
I don't need a man
No I don’t need nothing
'Cause I don't need a man, no I don't need nothing
I got myself, and I got my love, and
I don’t need a man, no I don't need nothing
 [Verse 2]
It's funny how you're doing just fine
I can see you're tryna make me jealous
You're with a new girl, every night
And you'rе making sure they kiss and tell it
To еverybody, nah, nah, too bad
You don't got me (Nah, nah, nah)
It's funny how you're doing just fine, just fine

[Pre-Chorus]
So don't you waste my ni-i-i-i-i-i-ight
'Cause I'm better than that
Run away with all your li-i-i-i-i-ies
You could take that shit back, yeah

[Chorus]
'Cause I don't need a man
No I don't need nothing
I got myself and I got my love and
I don't need a man
No I don't need nothing
'Cause I don't need a man, no I don't need nothing
I got myself, and I got my love, and
I don't need a man, no I don't need nothing

[Outro]
(Oooh, oh, yeah, oh no)
Kay",,,
Demi Lovato,SWINE ,3,2023,"[Verse 1]
God forbid, I wanna suck whatever the fuck I wanna
God forbid, I wanna fuck whoever the fuck I want
And if he cums, I guess I gotta be a mother
Fuck what I think, I don't know a thing
The government knows my body
No, it's okay, it's better this way, I'm only a carbon copy
Even if I'm dying, they'll still try to stop me

[Pre-Chorus]
Do we even hear ourselves?

[Chorus]
My life, my voice
My rights, my choice
It's mine, or I'm just swine
My blood, my loins
My lungs, my noise
It's mine, or I'm just swine (Hey, hey, hey, hey)

[Verse 2]
Picture your faith, imagine your God and even your Holy Bible
Is suddenly bannеd, do you understand?
Now doesn't that sound entitlеd?
It's your book, but it's my survival
We gotta grow 'em, we gotta raise 'em, we gotta feed and bathe 'em
And if you won't, they call you a witch to burn at the stake in Salem
Thought by now they'd change, but we're still waiting
 [Pre-Chorus]
Give these motherfuckers hell

[Chorus]
My life, my voice
My rights, my choice
It's mine, or I'm just swine
My blood, my loins
My lungs, my noise
It's mine, or I'm just swine (Hey, hey, hey, hey)

[Bridge]
Under-compensated, too domesticated (The fuck?)
Underestimated, overregulated (The fuck?)
Under-celebrated, hate-dominated (The fuck?)
We're infuriated, got us activated (Get up)
Ever-dedicated, newly-motivated (Get up)
And if you're awake, then I'm so glad you made it
(Ah-ah-ah-ah-ah)

[Chorus]
My life, my voice
My rights, my choice
It's mine (It's mine)
Or I'm just swine (Or I'm just swine)
My blood, my loins
My lungs, my noise
It's mine, or I'm just swine",,,
Dolly Parton,Just Because I’m A Woman,2,1968,"[Verse 1]
I can see you're disappointed
By the way you look at me
And I'm sorry that I'm not
The woman you thought I'd be

[Verse 2]
Yes, I've made my mistakes
But listen and understand
My mistakes are no worse than yours
Just because I'm a woman

[Verse 3]
So when you look at me
Don't feel sorry for yourself
Just think of all the shame
You might have brought somebody else
Just let me tell you this
Then we'll both know where we stand

[Bridge]
My mistakes are no worse than yours
Just because I'm a woman

[Verse 4]
Now a man will take a good girl
And he'll ruin her reputation
But when he wants to marry
Well, that's a different situation
 [Verse 5]
He'll just walk off and leave her
To do the best she can
While he looks for an angel
To wear his wedding band

[Verse 6]
Now I know that I'm no angel
If that's what you thought you'd found
I was just the victim of
A man that lets me down

[Outro]
No, my mistakes are no worse than yours
Just because I'm a woman",,,
Loretta Lynn,The Pill ,2,1975,"You wined me and dined me when I was your girl
Promised if I'd be your wife, you'd show me the world
But all I've seen of this old world is a bed and a doctor bill
I'm tearing down your brooder house 'cause now I've got the pill

All these years, I've stayed at home while you had all your fun
And every year that's gone by, another baby's come
There's gonna be some changes made right here on Nursery Hill
You've set this chicken your last time 'cause now I've got the pill

This old maternity dress I've got is going in the garbage
The clothes I'm wearing from now on won't take up so much yardage
Miniskirts, hot pants, and a few little fancy frills
Yeah, I'm making up for all those years since I've got the pill

I'm tired of all your crowing how you and your hens play
While holding a couple in my arms, another is on the way
This chicken's done tore up her nest and I'm ready to make a deal
And you can't afford to turn it down 'cause you know I've got the pill

This incubator is over-used because you've kept it filled
But feeling good comes easy now since I've got the pill
It's getting dark, it's roosting time, tonight's too good to be real
Aw, but Daddy don't you worry none 'cause Mama's got the pill
Oh, Daddy don't you worry none 'cause Mama's got the pill ",,,
"Gertrude ""Ma"" Rainey",Cell Bound Blues,1,1924,"[Verse 1]
Hey, hey, jailer, tell me what have I done?
Hey, hey, jailer, tell me what have I done?
You've got me all bound in chains, did I kill that woman's son?

[Verse 2]
All bound in prison, all bound in jail
All bound in prison, all bound in jail
Cold iron bars all around me, no one to go my bail

[Verse 3]
I've got a mother and father livin' in a cottage by the sea
Got a mother and father livin' in a cottage by the sea
Got a sister and brother, I wonder do they think of poor me?

[Verse 4]
I walked in my room the other night
My man walked in and begins to fight
I took my gun in my right hand
Told him, folks, I don't wanna kill my man
When I said that, he hit me 'cross my head
First shot I fired, my man fell dead
The papers came out and told the news
That's why I said I got the cell bound blues
Hey, hey, jailer, I got the cell bound blues",,,v
Le Tigre,Hot Topic,3,1999,"[Refrain]
Hot topic is the way that we rhyme
Hot topic is the way that we rhyme
Hot topic is the way that we rhyme
Hot topic is the way that we rhyme

[Verse 1]
Carol Rama and Eleanor Antin
Yoko Ono and Carolee Schneemann
""Yr getting old"", that's what they'll say
But don't give a damn I'm listening anyway

[Chorus 1]
Stop (Hot topic is the way that we rhyme)
Don't you stop (Hot topic is the way that we rhyme)
I can't live if you stop (One step behind the drum style)
Don't you stop (Hot topic is the way that we rhyme)

[Verse 2]
Gretchen Phillips and Cibo Matto
Leslie Feinberg and Faith Ringgold
Mr. Lady, Laura Cottingham
Mab Segrest and The Butchies, man

[Chorus 2]
Don't stop (One step behind the drum style)
Don't you stop (One step behind the drum style)
We won't stop (One step behind the drum style)
Don't you stop (One step behind the drum style)
 [Verse 3]
So many rules and so much opinion
So much shit to give in, give in to
So many rules and so much opinion
So much bullshit but we won't give in

[Chorus 3]
Stop (Hot topic is the way that we rhyme)
We won't stop (Hot topic is the way that we rhyme)
Don't you stop (Hot topic is the way that we rhyme)
I can't live if you stop

[Verse 4]
Tammy Rae Carland and Sleater-Kinney
Vivienne Dick and Lorraine O'Grady
Gayatri Spivak and Angela Davis
Laurie Weeks and Dorothy Allison

[Chorus 4]
Stop (Hot topic is the way that we rhyme)
Don't you stop (Hot topic is the way that we rhyme)
Please don't stop (One step behind the drum style)
We won't stop (Hot topic is the way that we rhyme)

[Interlude]
Gertrude Stein, Marlon Riggs, Billie Jean King, Ut, DJ Cuttin Candy
David Wojnarowicz, Melissa York, Nina Simone, Ann Peebles, Tami Hart
The Slits, Hanin Elias, Hazel Dickens, Cathy Sissler, Shirley Muldowney
Urvashi vaid, Valie Export, Cathy Opie, James Baldwin
Diane Dimassa, Aretha Franklin, Joan Jett, Mia X, Krystal Wakem
Kara Walker, Justin Bond, Bridget Irish, Juliana Lueking
Cecelia Dougherty, woo! Ariel Schrag, The Need, Vaginal Creme Davis
Alice Gerard, Billy Tipton, Julie Doucet, Yayoi Kusama, Eileen Myles
[Outro]
Oh no, no, no, don't stop, stop (Hot topic is the way that we rhyme)
Oh no, no, no, don't stop, stop (Hot topic is the way that we rhyme)
Oh no, no, no, don't stop, stop (Hot topic is the way that we rhyme)
Oh no, no, no, don't stop, stop (Hot topic is the way that we rhyme)
Oh no, no, no, don't stop, stop (One step behind the drum style)
(One step behind the drum style)
Oh no, no, no, don't stop, stop (One step behind the drum style)
(One step behind the drum style)",,,
Jeannie C. Riley,Harper Valley P.T.A.,2,1968,"[Verse 1]
I wanna tell you all a story
About a Harper Valley widowed wife
Who had a teenage daughter
Who attended Harper Valley Junior High
Well, her daughter came home one afternoon
And didn't even stop to play
And she said, ""Mom, I got a note here
From the Harper Valley PTA""

[Verse 2]
Well, the note said, ""Mrs. Johnson
You're wearin' your dresses way too high
It's reported you've been drinking
And a-running 'round with men and goin' wild
And we don't believe you oughta be
A-bringin' up your little girl this way""
And it was signed by the secretary
Harper Valley PTA

[Verse 3]
Well, it happened that the PTA
Was gonna meet that very afternoon
And they were sure surprised when Mrs. Johnson
Wore her miniskirt into the room
And as she walked up to the blackboard
I can still recall the words she had to say
She said, ""I'd like to address this meeting
Of the Harper Valley PTA""
 [Verse 4]
""Well, there's Bobby Taylor sittin' there
And seven times he's asked me for a date
And Mrs. Taylor sure seems to use a lotta ice
Whenever he's away
And, Mr. Baker, can you tell us why
Your secretary had to leave this town?
And shouldn't widow Jones be told to keep
Her window shades all pulled completely down?""

[Verse 5]
""Well, Mr. Harper couldn't be here
'Cause he stayed too long at Kelly's Bar again
And if you'll smell Shirley Thompson's breath
You'll find she's had a little nip of gin
And then you have the nerve to tell me
You think that as a mother I'm not fit
Well, this is just a little Peyton Place
And you're all Harper Valley hypocrites""

[Outro]
No, I wouldn't put you on, because it really did
It happened just this way
The day my mama socked it to
The Harper Valley PTA
The day my mama socked it to
The Harper Valley PTA",,,
Taylor Swift,The Man,3,2019,"[Verse 1]
I would be complex, I would be cool
They'd say I played the field before I found someone to commit to
And that would be okay for me to do
Every conquest I had made would make me more of a boss to you

[Pre-Chorus]
I’d be a fearless leader, I'd be an alpha type
When everyone believes ya, what's that like?

[Chorus]
I’m so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I'm so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I’d be the man (Man)

[Verse 2]
They’d say I hustled, put in the work
They wouldn't shake their heads and question how much of this I deserve
What I was wearing, if I was rude
Could all be separated from my good ideas and power moves

[Pre-Chorus]
And they would toast to me, oh (Ayy), let the players play
I’d be just like Leo in Saint-Tropez

[Chorus]
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I’m so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I'd be the man (Man)

[Bridge]
What's it like to brag about raking in dollars
And getting bitches and models?
And it's all good if you're bad
And it's okay if you're mad
If I was out flashin' my dollars
I'd be a bitch, not a baller
They'd paint me out to be bad
So it's okay that I'm mad

[Chorus]
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man (You know that)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man (Then I'd be the man)
I'm so sick of running as fast as I can (As fast as I can)
Wonderin' if I'd get there quicker if I was a man (Hey)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man
I'd be the man (Man)
I'd be the man (Man, oh)
I'd be the man (Man, yeah)
I'd be the man (Man, I'd be the man)
[Outro]
If I was a man
Then I'd be the man",,,
Beyonce ,Run the World (Girls) ,3,2011,"[Intro]
Girls (Ah, yeah)
We run this mutha (Ah), yeah
Girls (Ah, yeah)
We run this mutha (Ah), yeah
Girls (Ah, yeah)
We run this mutha (Ah), yeah
Girls (Ah, yeah)
We run this mutha (Girls)

[Chorus]
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? G-G-Girls (Girls)

[Verse 1]
Some of them men think they freak this
Like we do, but no, they don't
Make your check, come at they neck
Disrespect us, no, they won't
Boy, don't even try to touch this (T-T-Touch this)
Boy, this beat is crazy (Crazy)
This is how they made me (Made me)
Houston, Texas, baby
This goes out to all my girls
That's in the club rockin' the latest
Who will buy it for themselves
And get more money later
I think I need a barber (Barber)
None of these **** can fade me (Fade me)
I'm so good with this
I remind you, I'm so hood with this
 [Refrain]
Boy, I'm just playin'
Come here, baby
Hope you still like me
F-U, pay me

[Pre-Chorus]
My persuasion can build a nation (Ooh, ooh)
Endless power, with our love, we can devour (Ooh)
You'll do anythin' for me
Who run the world? Girls (Girls)

[Chorus]
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? G-G-Girls (Girls)
[Verse 2]
It's hot up in here
DJ, don't be scared to run this, run this back
I'm reppin' for the girls who takin' over the world
Help me raise a glass for the college grads
41' Rollie to let you know what time it is, check
You can't hold me (You can't hold me)
I work my nine to five, better cut my check
This goes out to all the women gettin' it in
You on your grind
To other men that respect what I do
Please accept my shine
Boy, you know you love it
How we smart enough to make these millions
Strong enough to bear the children (Children)
Then get back to business (Business)

[Refrain]
See, you better not play me (Me)
Oh, come here, baby (Baby)
Hope you still like me
F-U, pay me

[Pre-Chorus]
My persuasion can build a nation (Ooh, ooh)
Endless power, with our love, we can devour (Ooh)
You'll do anythin' for me
Who run the world? Girls (Girls)
[Chorus]
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run this mutha? (Ah, girls)
Who run this mutha? (Ah, yeah, girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? Girls (Girls)
Who run the world? G-G-Girls (Girls)

[Outro]
Who are we? What we run? The world
(Who run this mutha****? Yeah)
Who are we? What we run? The world
(Who run this mutha****? Yeah)
Who are we? What do we run? We run the world
(Who run this mutha****? Yeah)
Who are we? What we run? We run the world
Who run the world? Girls (Girls)",,,
Kesha,Woman ,3,2017,"[Intro: Kesha & Wrabel]
Let's be serious, come on
This is a real, this is, excuse me!
Okay, shut up!

[Verse 1]
I buy my own things, I pay my own bills
These diamond rings, my automobiles
Everything I got, I bought it
Boys can’t buy my love
Buy my love, yeah (My card's been rejected)
I do what I want (She does), say what you say (Woo)
I work real hard every day

[Chorus]
I'm a motherfucking woman, baby, alright
I don’t need a man to be holding me too tight
I'm a motherfucking woman, baby, that's right
I'm just having fun with my ladies here tonight
I'm a motherfucker

[Post-Chorus]
Mmm, yeah

[Verse 2]
Let's drive around town in my Cadillac
Girls in the front, boys in the back
Loosey as a goosey and we're looking for some fun
[Chorus]
I'm a motherfucking woman, baby, alright
I don’t need a man to be holding me too tight
I’m a motherfucking woman, baby, that's right
I’m just having fun with my ladies here tonight
I'm a motherfucker

[Post-Chorus]
Mmm, yeah
Mmm, yeah

[Bridge]
Don't buy me a drink, I make my money (Oh)
Don't touch my weave, don’t call me ""honey""
'Cause I run my shit, baby ('Cause I run my shit, baby, I run my shit)
Don't buy me a drink, I make my money
Don't touch my weave, don't call me ""honey""
('Cause I write this shit, baby, I write this shit) I write my shit
Don't buy me a drink, I make my money
Don't touch my weave, don't call me ""honey""
('Cause I run my shit, baby, I run my shit)
Don't buy me a drink, I make my money
Don't touch my weave, don't call me ""honey"" (Don't touch my weave, baby)
'Cause I run my shit, baby, I run my shit ('Cause I run my shit, baby, I run my shit)
Don't buy me a drink (Oh), I make my money (Oh)
Don't touch my weave, don't call me ""honey"" (Oh)
I run this shit, baby, I run this shit ('Cause I run this shit, baby, I run this shit)
Don't buy me a drink, I make my money
Don't touch my weave, don't call me ""honey""
('Cause I write this shit, baby, I write this shit)
Whoa, woo
[Chorus]
I'm a motherfucking woman, baby, alright (Oh, yeah)
I don't need a man to be holding me too tight
I'm a motherfucking woman, baby, that's right
I'm just having fun with my ladies here tonight
I'm a motherfucker

[Post-Chorus]
Ooh, oh
Ooh, oh
Ooh, oh
Ooh, oh
Ooh, oh
Ooh, oh
Ooh, oh
Mmm, yeah",,,
Jax ,Victoria's Secret ,3,2022,"[Verse 1]
God, I wish somebody would have told me when I was younger
That all bodies aren't the same
Photoshop itty bitty models on magazine covers
Told me I was overweight
I stopped eating, what a bummer
Can't have carbs and a hot girl summer
If I could go back and tell myself when I was younger
I'd say, ""Psst!

[Chorus]
I know Victoria's secret
And, girl, you wouldn't believe
She's an old man who lives in Ohio
Making money off of girls like me""
Cashin' in on body issues
Sellin' skin and bones with big boobs
I know Victoria's secret:
She was made up by a dude (Dude)
Victoria was made up by a dude (Dude)
Victoria was made up by a dude

[Verse 2]
I wish somebody would've told me that thighs of thunder
Meant normal human thighs
The fuckin' pressure I was under
To lose my appetite and fight the cellulite
With Hunger Games like every night
If I could go back and tell myself when I was younger
I'd say, ""Hey, dummy
 [Chorus]
I know Victoria's secret
And, girl, you wouldn't believe
She's an old man who lives in Ohio
Making money off of girls like me""
Cashin' in on body issues
Sellin' skin and bones with big boobs
I know Victoria's secret:
She was made up by a dude (Dude)
Victoria was made up by a dude (Dude)
Victoria was made up by a dude

[Bridge]
I know Victoria's secret
And, girl, you wouldn't believe
She's an old man who lives in Ohio
Making money off girls like me
Cashin' in on body issues
Sellin' skin and bones with big boobs
I know Victoria's secret:
She was made up by a dude

[Chorus]
I know Victoria's secret
And, girl, you wouldn't believe
She's an old man who lives in Ohio
Making money off girls like me
Cashin' in on body issues
Sellin' skin and bones with big boobs
[Outro]
I know Victoria's secret:
She was never made for me and you",,,
Lizzo ,Like a Girl ,3,2019,"[Intro]
Uh (Go)

[Verse 1]
Woke up feelin' like I just might run for President
Even if there ain't no precedent, switchin' up the messaging
I'm about to add a little estrogen
Buy my whip by myself, pay my rent by myself
Only exes that I care about are in my fucking chromosomes
I don't really need you, I'm Macaulay Culkin, home alone
Bad bitch, diamonds in my collarbone (Yee, yee)
Buy my whip by myself, pay my rent by myself

[Pre-Chorus]
Sugar, spice, and I'm nice
Show me what you're made of
Crazy, sexy, cool, baby
With or without makeup
Got nothing to prove (Got nothing to prove)
But I'ma show you how I do

[Chorus]
Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
Go and throw it (Like a girl)
Hangin' out the 750, feelin' bossy in my city
'Cause I run it (Like a girl)
Run it, run it (Like a girl)
I work my femininity
I make these boys get on their knees
Now watch me do it, watch me do it
Look it, look it, I'ma do it
Like a girl (Like a girl)
Like a girl (Like a girl)
 [Verse 2]
Chaka Kahn, ""Through the Fire,"" light the kerosene (We can do it)
Lauryn Hill told me everything is everything (We can do it)
Serena Willy showed me I can win the Wimbledon (We can do it)
Uh, put me on a pedestal, bet on me, bet I will

[Pre-Chorus]
Sugar, spice, and I'm nice
Show me what you're made of
Crazy, sexy, cool, baby
With or without makeup
Got nothing to prove (Got nothing to prove)
But I'ma show you how I do (But I'ma show you how I do)

[Chorus]
Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
Go and throw it (Like a girl)
Hangin' out the 750, feelin' bossy in my city
'Cause I run it (Like a girl)
Run it, run it (Like a girl)
I work my femininity
I make these boys get on their knees
Now watch me do it, watch me do it
Look it, look it, I'mma do it
Like a girl (Like a girl)
Like a girl (Like a girl)
[Bridge]
Look, so if you fight like a girl, cry like a girl
Do your thing, run the whole damn world
If you feel like a girl, then you real like a girl
Do your thing, run the whole damn world
If you fight like a girl, cry like a girl
Do your thing, run the whole damn world
If you feel like a girl, then you real like a girl
Do your thing, run the whole damn world

[Chorus]
Find me up in Magic City bustin' hundreds by the bands
And I throw it (Like a girl)
(Yeah, yeah, yeah, yeah, yeah, yeah)
Go and throw it (Like a girl)
Hangin' out the 750 (Hangin' out the 750, baby)
Feelin' bossy in my city
'Cause I run it (Like a girl) (Yeah, I run it like a girl)
Run it, run it (Like a girl)
I work my femininity (Yeah, I work it baby)
I make these boys get on their knees (Get on your knees, yeah)
Now watch me do it, watch me do it
Look it, look it, I'ma do it (Watch me do it)
Like a girl (Like a girl)
Like a girl (Like a girl, yeah)
[Outro]
Shit, fuck, I didn't know it was ending right there",,,
Bea Miller ,S.L.U.T.,3,2018,"[Verse 1]
I love myself, I wanna see it
When I turn around, look in the mirror
And if you don't like it, you can leave it
'Cause it's my own and I'll keep owning it
If you don't like what I'm wearing
Well, you're only bothered 'cause you're staring
And you'll never talk me into caring
'Cause it's my own and I'll keep owning it

[Pre-Chorus]
I'ma do just what I want on the regular
And it's really not my fault if you're scared of a

[Chorus]
Sweet little unforgettable thing, unforgettable
Sweet little unforgettable thing, so incredible
No and I'm not sorry, I'm just loving my body
I don't care if you're scared of a sweet little unforgettable thing

[Verse 2]
I love my ass, I wanna shake it
You can thank my mama 'cause she made it
Don't you waste your breath tryna change it
Just mind your own and I'll keep owning it
We gotta learn to stick together
Love your color, gender or whatever
'Cause your happiness don't need a censor
Just mind your own and we'll keep owning it
 [Pre-Chorus]
I'ma do just what I want on the regular
And it's really not my fault if you're scared of a

[Chorus]
Sweet little unforgettable thing, unforgettable
Sweet little unforgettable thing, so incredible
No and I'm not sorry, I'm just loving my body
I don't care if you're scared of a sweet little unforgettable thing

[Bridge]
Shame, shame, shame on me, shame, shame, shame
Shame on me, baby, I ain't gon' change
Shame, shame, shame on me, shame, shame, shame
Shame on me, baby, I ain't gon' change (No, no, no)

[Chorus]
Sweet little unforgettable thing, unforgettable
Sweet little unforgettable thing, so incredible
No and I'm not sorry, I'm just loving my body
I don't care (I don't care) if you're scared (if you're scared) of a sweet little unforgettable thing

[Outro]
Shame, shame, shame on me
Shame on me, baby
Shame, shame, shame on me
Shame on me, baby
Sweet little unforgettable thing",,,
Miley Cyrus ,flowers,3,2023,"[Verse 1]
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

[Pre-Chorus]
Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

[Verse 2]
Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said
 [Pre-Chorus]
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

[Bridge]
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (You never will)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
[Post-Chorus]
Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I",,,
